network,n,p,total_gold_edges,edges_in_gene_set,threshold,detectable,coverage_fraction,median_abs_pcorr,mean_abs_pcorr
1,487,200,4012,206,0.1,84,0.4077669902912621,0.07685777748916856,0.1063569127890147
3,487,200,4012,7,0.1,1,0.14285714285714285,0.050893501937560384,0.05765767792904838
1,487,500,4012,960,0.1,128,0.13333333333333333,0.0,0.03527743517108783
1,487,1000,4012,2156,0.1,187,0.08673469387755102,0.0,0.023702899197030617
