	KIAA1257	ERMN	KLHL21	CASS4	HAL	TTC18	KCNK7	CCDC19	ARAP3	TIGD3
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.030303030303030304	0.32031403429911043	0.01793205569069956	0.016521995562220105	0.01629379286481147	0.016243881715927187	0.01621148399330046	0.016094841581138022	0.016094184356287185	0.016059309490385906	0.01604431871381547
0.06060606060606061	0.40563344298944176	0.02364140349059101	0.01895449437213163	0.018442099527722605	0.018293688173530505	0.0182888294211789	0.01791596441642222	0.017909336572581654	0.017839450525964768	0.01776416033761299
0.09090909090909091	0.3952994145727492	0.025460537536125944	0.016883619191241414	0.01628372519706521	0.01603235524937507	0.01615469083634396	0.015522243050378803	0.015502397406673581	0.015416525061841468	0.01526624120397001
0.12121212121212122	0.35076961031532844	0.02595147228304234	0.01370837685304927	0.013221974787402271	0.012881497394025145	0.013185945124527419	0.01238467619168466	0.012351296373206989	0.012238421473082156	0.01204788495694799
0.15151515151515152	0.29829119548188543	0.025889468928360575	0.010590109707847286	0.010341287179802285	0.009931145659965218	0.010418508403729099	0.009580299469590143	0.0095457868585926	0.009359666749180118	0.009199505123980108
0.18181818181818182	0.24836434434557558	0.02554809031516419	0.007895297060576881	0.007929077824926488	0.007469258835912262	0.008102755218208491	0.007360233917330773	0.007349907169805142	0.007022435964257225	0.006977550640191124
0.21212121212121213	0.20458291256774602	0.025051810263107262	0.0057097220603462675	0.006013771561386397	0.00552438602497192	0.006247063286152269	0.0057102203386501585	0.0057570995513354616	0.0052190223937731445	0.005367683219417772
0.24242424242424243	0.16762163143268832	0.02446799307870189	0.004025739084127425	0.004548633336326716	0.004052408199095	0.004796964730295532	0.004540404563070419	0.004674904590564386	0.003881389774902969	0.00427387855503385
0.2727272727272727	0.137012361038556	0.023835594730295603	0.002817590915096836	0.003472716523074242	0.0029993222804979456	0.0036908439813449424	0.0037449746566910764	0.003982559748167228	0.0029395219548709354	0.0035759168525226434
0.30303030303030304	0.11191807771593723	0.023177698676189757	0.0020704884480572546	0.0027278436596678926	0.00231654651514586	0.0028752262862396637	0.0032208681164800396	0.003555780354068748	0.002331427617335911	0.0031506064351863837
0.33333333333333337	0.09145618414728043	0.022508283558926936	0.0017508462890473361	0.00225674461268344	0.0019475401669412239	0.0023057071197389	0.0028775982766859926	0.003287891984535017	0.0019916539534173597	0.00289044391132979
0.36363636363636365	0.07482198190103846	0.0218360654407174	0.0017301006093210895	0.001994942895747591	0.001805940834117662	0.001940986706675508	0.0026447310487554714	0.003102972486797463	0.0018403539185318015	0.0027175636164523684
0.3939393939393939	0.06132574577423358	0.021166667886920888	0.0018336893989949845	0.0018717284238614087	0.001789677448521232	0.0017353453109988722	0.0024741279424068674	0.002955358647271901	0.0017956353115205683	0.002584695836005083
0.42424242424242425	0.0503942251253603	0.020503841058867184	0.001951902485479696	0.0018242397392030543	0.0018201303884888508	0.0016382878894047495	0.0023365427314365438	0.0028212993175698808	0.0017958177169250977	0.002467172652140618
0.4545454545454546	0.041558960864030284	0.019850153237520225	0.002042177725199479	0.001808871015135174	0.00185451473540518	0.0016035277091057012	0.0022158929739212853	0.0026902158852407563	0.001805417096931722	0.0023539314085001747
0.48484848484848486	0.03444094942123703	0.019207393414219887	0.0020943808712446466	0.001800986459414002	0.001874920527597716	0.0015972749584216872	0.002104124139815316	0.0025585302296333872	0.0018078949087298307	0.00224108071803277
0.5151515151515151	0.02873540291499732	0.018576814880213493	0.002110571526965775	0.0017888613903170294	0.0018762080157834762	0.0015991332294856976	0.0019976413052436737	0.002426007626513678	0.0017972765183576827	0.0021281155081744846
0.5454545454545454	0.024197778625342007	0.017959289424583094	0.002096628136588454	0.0017680422531210144	0.0018588900370493408	0.0015985336831298058	0.001895140909673458	0.0022937882143348773	0.0017727399454914707	0.0020159104997422694
0.5757575757575758	0.020631161025432564	0.017355409500117262	0.002059044491180832	0.001737739310318226	0.0018256521934367934	0.001590862079066274	0.001796393819538075	0.002163398741893613	0.0017357226355826916	0.0019057316563487442
0.6060606060606061	0.01787478056051987	0.01676555876222815	0.00200377061607235	0.001698834063212725	0.0017797665042377814	0.0015747486226487398	0.0017016005018518088	0.002036294434688948	0.001688486238072345	0.0017987877252770917
0.6363636363636364	0.01579371385490878	0.0161899624717229	0.0019358613177664396	0.0016528519713330657	0.001724405291501249	0.0015504579643409895	0.001611068811937298	0.0019136749219295093	0.001633434809505737	0.001696055121546023
0.6666666666666667	0.014270434613164866	0.015628724497496985	0.0018594432809023518	0.0016014572844932455	0.0016623728710102573	0.001518999284435567	0.0015250663981505401	0.0017964357304128076	0.0015728086969987991	0.0015982349018230275
0.696969696969697	0.013199339270644744	0.015081855050898143	0.001777801232955664	0.0015462192199289725	0.0015960287091345338	0.0014816531188467483	0.0014437642695942898	0.0016851825329680988	0.0015085634949383994	0.0015057691865787023
0.7272727272727273	0.012484908452969156	0.01454929180416568	0.0016935000124401732	0.0014885162349016759	0.0015272957394972554	0.0014397284073493202	0.0013672258013666182	0.0015802707927152955	0.0014423389921440028	0.001418880609487924
0.7575757575757576	0.0120427408131508	0.014030916168116437	0.0016085081252145107	0.001429509024701247	0.0014577035596579743	0.0013944444733092595	0.0012954166606014778	0.0014818522627600905	0.0013754704693449207	0.0013376171725550125
0.7878787878787878	0.01180148197724724	0.013526565959901897	0.001524309476231908	0.0013701463542454067	0.0013884427653299489	0.0013468801388786518	0.0012282228241107247	0.0013899196673551576	0.0013090183405702715	0.0012618945192584944
0.8181818181818182	0.011703806452680902	0.013036045338831185	0.001441999219308938	0.0013111852449396249	0.0013204194665289086	0.0012979584273560484	0.0011654702193691917	0.0013043459807809106	0.0012438040639205445	0.0011915324898969183
0.8484848484848485	0.011705782354087165	0.01255913265057599	0.0013623636559499366	0.0012532161202696726	0.0012543052632677737	0.001248449594367855	0.0011069429415530524	0.0012249172733427933	0.0011804463611588877	0.0011262851920761183
0.8787878787878788	0.011775005856070173	0.012095586654761434	0.0012859457074648304	0.0011966882700291774	0.001190580997269463	0.0011989830246849878	0.0010523988083457208	0.0011513593073362324	0.0011193949537128126	0.0010658649076439937
0.9090909090909092	0.011888244321651984	0.011645151493016983	0.0012130979840629583	0.0011419334854988672	0.0011295740492980768	0.0011500628199464286	0.0010015819436184584	0.0010833585805094346	0.0010609606700254077	0.0010099605950513856
0.9393939393939394	0.012029165552394777	0.01120756066876633	0.0011440254865730478	0.0010891870140384736	0.0010714896089030754	0.00110208428485403	0.0009542325335529769	0.0010205786736883133	0.0010053416275774651	0.0009582518625792451
0.9696969696969697	0.012186437702980415	0.010782540246667128	0.00107881978748165	0.0010386056410024488	0.0010164366009036937	0.0010553498530854442	0.0009100940955200398	0.00096267274607512	0.0009526456159104681	0.0009104192545831375
1.0	0.012352265840288746	0.010369811432253339	0.0010174862832297606	0.0009902830266102524	0.0009644490129525608	0.0010100837432221984	0.0008689186624660276	0.0009092929332057616	0.0009029090019581163	0.0008661515978514205
1.0303030303030303	0.01252132042851247	0.009969092656599218	0.0009599658511321572	0.0009442625647371256	0.0009155033351610584	0.0009664450539542991	0.0008304702801355705	0.00086009728883915	0.0008561125520879282	0.000825151042223607
1.0606060606060606	0.012689976684630457	0.009580101263650456	0.0009061520082220544	0.000900548075720299	0.0008695327497531485	0.0009245392384798548	0.0007945271773108386	0.0008147547980793531	0.0008121945744055488	0.0007871363194566875
1.0909090909090908	0.012855784478392966	0.009202554877058247	0.0008559044648601622	0.0008591126429703089	0.000826438623427092	0.0008844280205369616	0.0007608829198007673	0.0007729488861572423	0.0007710617620365604	0.0007518446456546703
1.1212121212121213	0.013017102680141156	0.00883617250731973	0.0008090597940680814	0.0008199058787375153	0.0007860997710501165	0.0008461378748363774	0.0007293468073613662	0.0007343797596939522	0.000732598080957226	0.0007190326080599395
1.1515151515151516	0.013172848167138922	0.008480675447603397	0.0007654397957014372	0.0007828598713337747	0.0007483798826724617	0.0008096672194577555	0.0006997437241832445	0.0006987658454220241	0.0006966720042176532	0.0006884763064643282
1.1818181818181819	0.013322323745916591	0.008135787996959437	0.0007248580189392152	0.0007478940314766138	0.0007131334389565171	0.0007749924726232005	0.0006719136103634234	0.0006658445339469967	0.000663142353297241	0.0006599709615493159
1.2121212121212122	0.01346510002915743	0.007801238042033641	0.0006871248131029222	0.0007149190226698648	0.0006802103833272581	0.0007420731203380868	0.0006457106846796335	0.000635372391152238	0.0006318629694781093	0.0006333301553525594
1.2424242424242424	0.013600934107155788	0.007476757522438908	0.0006520512017785749	0.000683839931170481	0.0006494597718310079	0.00071085593007826	0.0006210025179835746	0.000607124965045845	0.0006026864046446104	0.0006083848310398984
1.2727272727272727	0.01372971331719608	0.0071620828002206946	0.000619451815297396	0.0006545588055893905	0.0006207325827773472	0.0006812784321488267	0.0005976690311853235	0.0005808962891036682	0.0005754667920825762	0.0005849821486737423
1.303030303030303	0.013851416169155719	0.006856954950106431	0.0005891470690206884	0.0006269766744672824	0.0005938838365174775	0.000653271776336655	0.0005756014714787186	0.0005564981626085458	0.0005500620334415498	0.0005629842693684185
1.3333333333333335	0.013966085039662126	0.006561119984241387	0.0005609647372067766	0.0006009951319367114	0.0005687741499768249	0.0006267630580138776	0.000554701404457277	0.0005337592725740432	0.000526335417562191	0.0005422671209834925
