aupr,auroc,f1,f1_opt,mcc,shd,precision,recall,tp,fp,tn,fn,topology,config,method,rep,seed_offset,n,p,wall_seconds,dof_correction,null_graph,benchmark,network,delta_mode,diffusion_spearman_mean,diffusion_spearman_min,diffusion_mae_mean,knockout_spearman,knockout_top10_recall,knockout_topk_recall,n_components_pred,diffusion_spearman_mean_null,knockout_spearman_null,diffusion_spearman_norm,knockout_spearman_norm,preprocessing,dataset_id
0.520371950649969,0.9666796279080854,0.5446685878962536,0.5977011494252874,0.5537598775500414,316.0,0.4315068493150685,0.73828125,189.0,249.0,12861.0,67.0,hub,n513p164,piglasso_oracle_n07,1.0,0.0,513.0,164.0,1142.0347659599502,,,synthetic,,,,,,,,,,,,,,,
0.1157343503686888,0.51706142114578,0.067394217882443,0.1703172978505629,0.1514019922438272,4871.0,0.7619047619047619,0.0352564102564102,176.0,55.0,48581.0,4816.0,scale-free,n1026p328,gglasso,47.0,,1026.0,328.0,13.955753725022078,,,synthetic,,,,,,,,,,,,,,,
0.8286601395889467,0.9838743317615352,0.7544910179640718,0.8341013824884793,0.750443289948648,410.0,0.6441717791411042,0.9104046242774566,630.0,348.0,11680.0,62.0,random,n300p160,piglasso_oracle_n02,30.0,0.0,300.0,160.0,1398.8256506409962,,,synthetic,,,,,,,,,,,,,,,
0.5788532056570017,0.8180920681205441,0.6557377049180328,0.6583979328165375,0.6286207196543804,672.0,0.6570841889117043,0.65439672801636,640.0,334.0,12054.0,338.0,cluster,n513p164,gglasso,6.0,,513.0,164.0,50.00395423779264,,,synthetic,,,,,,,,,,,,,,,
0.8651423567207562,0.976780995225917,0.8173913043478261,0.8246644295302014,0.8009013853271192,420.0,0.8671586715867159,0.7730263157894737,940.0,144.0,11360.0,276.0,scale-free,n700p160,piglasso_oracle_n02,47.0,0.0,700.0,160.0,1234.9728248849278,,,synthetic,,,,,,,,,,,,,,,
0.5594032903901561,0.9073617877177442,0.5523012552301255,0.593607305936073,0.5183232044059082,107.0,0.4615384615384615,0.6875,66.0,77.0,1052.0,30.0,scale-free,n100p50,piglasso,47.0,,100.0,50.0,8.433143585920334,,,synthetic,,,,,,,,,,,,,,,
0.725250860263477,0.9827507642843316,0.6526207605344295,0.7991452991452992,0.6651286995321806,676.0,0.4992138364779874,0.9421364985163204,635.0,637.0,12055.0,39.0,random,n513p164,piglasso_oracle_n07,18.0,0.0,513.0,164.0,1288.5578928509494,,,synthetic,,,,,,,,,,,,,,,
0.9136993634207756,0.9977779664855072,0.897338403041825,0.9052224371373307,0.8956094384779336,54.0,0.8740740740740741,0.921875,236.0,34.0,13076.0,20.0,hub,n513p164,ssglasso,23.0,0.0,513.0,164.0,1099.743216786068,,,synthetic,,,,,,,,,,,,,,,
0.924498137948646,0.995336055156879,0.8683473389355743,0.8997704667176741,0.863517415489198,188.0,0.8093994778067886,0.9365558912386708,620.0,146.0,12558.0,42.0,random,n513p164,ssglasso,4.0,0.0,513.0,164.0,1329.569508020999,,,synthetic,,,,,,,,,,,,,,,
0.9427688844986658,0.9993760982628656,0.8991150442477877,0.9653846153846154,0.901657282612658,57.0,0.8167202572347267,1.0,254.0,57.0,12409.0,0.0,hub,n900p160,piglasso_oracle_n02,32.0,0.0,900.0,160.0,1130.5300706489943,,,synthetic,,,,,,,,,,,,,,,
